,,"Population"
,,
"AGGLOMÉRATION DE MONTRÉAL",,1886481
,,
"Quartiers de Montréal",,
"Anjou",,41928
"Baie-D'Urfé",,3850
"Beaconsfield",,19505
"Bourget",,9188
"Côte-Saint-Luc",,32321
"Crémazie",,5587
"De Lorimier",,20935
"Dollard-Des Ormeaux",,49637
"Dorval",,18208
"Hampstead",,7153
"Hochelaga",,9772
"Kirkland",,21253
"Lachine",,41616
"Lafontaine",,5560
"LaSalle",,74276
"Laurier",,9344
"L'Île-Bizard",,14747
"L'Île-Dorval",,5
"Maisonneuve",,23327
"Mercier",,94292
"Montcalm",,30207
"Montréal-Est",,3728
"Montréal-Nord",,83868
"Mont-Royal",,77498
"Notre-Dame-de-Grâce",,87684
"Ouest",,5085
"Outremont",,43069
"Papineau",,3998
"Pointe-aux-Trembles",,48458
"Pointe-Claire",,30790
"Préfontaine",,16941
"Rivière-des-Prairies",,57979
"Rosemont",,84337
"Roxboro",,68410
"Saint-André",,22876
"Saint-Denis",,13272
"Sainte-Anne",,6087
"Sainte-Anne-de-Bellevue",,5073
"Sainte-Cunégonde",,8506
"Saint-Édouard",,17233
"Sainte-Geneviève",,3350
"Sainte-Marie",,6774
"Saint-Eusèbe",,13144
"Saint-Gabriel",,10695
"Saint-Georges",,10626
"Saint-Henri",,12883
"Saint-Jacques",,8517
"Saint-Jean",,37655
"Saint-Jean-Baptiste",,11829
"Saint-Joseph",,7900
"Saint-Laurent",,11452
"Saint-Laurent (arrondissement)",,93842
"Saint-Léonard",,75707
"Saint-Louis",,8648
"Saint-Michel",,13118
"Saint-Michel-Nord",,50702
"Saint-Paul",,30245
"Saraguay",,1581
"Senneville",,920
"Verdun",,66158
"Ville-Marie",,4703
"Villeray",,168498
"Westmount",,19931
,,
,,
"Source : Statistique Canada, Recensement de la population 2011",,
"Compilation : Montréal en statistiques, Ville de Montréal",,
