,,"Population
"
,,
"AGGLOMÉRATION DE MONTRÉAL",,1886481
,,
"Ville de Montréal",,1649519
"Ahuntsic-Cartierville",,126891
"Anjou",,41928
"Côte-des-Neiges–Notre-Dame-de-Grâce",,165031
"Lachine",,41616
"LaSalle",,74276
"Le Plateau-Mont-Royal",,100390
"Le Sud-Ouest",,71546
"L'Île-Bizard–Sainte-Geneviève",,18097
"Mercier–Hochelaga-Maisonneuve",,131483
"Montréal-Nord",,83868
"Outremont",,23566
"Pierrefonds-Roxboro",,68410
"Rivière-des-Prairies–Pointe-aux-Trembles",,106437
"Rosemont–La Petite-Patrie",,134038
"Saint-Laurent",,93842
"Saint-Léonard",,75707
"Verdun",,66158
"Ville-Marie",,84013
"Villeray–Saint-Michel–Parc-Extension",,142222
,,
,,
,,
"Autres villes",,236962
"Baie-D'Urfé",,3850
"Beaconsfield",,19505
"Côte-Saint-Luc",,32321
"Dollard-Des Ormeaux",,49637
"Dorval",,18208
"Hampstead",,7153
"Kirkland",,21253
"L'Île-Dorval",,5
"Montréal-Est",,3728
"Montréal-Ouest",,5085
"Mont-Royal",,19503
"Pointe-Claire",,30790
"Sainte-Anne-de-Bellevue",,5073
"Senneville",,920
"Westmount",,19931
,,
,,
"Source : Statistique Canada, Recensement de la population 2011",,
"Compilation : Montréal en statistiques, Ville de Montréal",,
